time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.12308e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.757276	0.645685	7.22722	1.24675e-17	5.47277e-17	radar	74.3884	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.12952	0.521756	7.25088	-0.374288	-0.035008	lidar	0.68316	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26573	0.552942	7.16841	-0.156189	-0.00535148	radar	2.10567	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63054	0.542374	7.141	-0.077892	0.0457442	lidar	0.502323	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8625	0.551463	6.01687	-0.082296	-0.372011	radar	6.43542	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17089	0.555349	5.98471	-0.0639864	-0.272965	lidar	0.543826	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38435	0.621764	5.53511	0.00981652	-0.169169	radar	5.80705	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65776	0.634108	5.52252	0.0169403	-0.108978	lidar	0.0618564	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92082	0.640843	5.45433	0.0109393	-0.128877	radar	0.172523	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15391	0.643727	5.40468	0.0156432	-0.0885498	lidar	1.12683	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.439	0.546735	5.44279	-0.117272	-0.49778	radar	1.46976	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74377	0.441132	5.52408	-0.228895	-0.748524	lidar	2.39438	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02128	0.524294	5.50632	-0.0994184	-0.295095	radar	3.51244	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29513	0.523084	5.49184	-0.0869417	-0.228702	lidar	0.216873	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55158	0.567805	5.36675	-0.0383048	-0.0965607	radar	1.53091	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73402	0.684904	5.18236	0.072042	0.153694	lidar	11.201	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98453	0.686472	5.08272	0.0644441	0.121629	radar	1.4686	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28467	0.679015	5.15984	0.0480327	0.075925	lidar	3.01107	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54437	0.686476	5.24869	0.049268	0.0737596	radar	1.80575	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84053	0.698647	5.3035	0.0499817	0.0674336	lidar	1.75083	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08224	0.625168	5.16551	-0.0105178	-0.0538893	radar	3.93556	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33437	0.739609	5.15385	0.07051	0.0983909	lidar	3.03982	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58348	0.774801	5.10787	0.0869786	0.11863	radar	0.243491	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82978	0.768379	5.09542	0.0731618	0.0834694	lidar	0.317779	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07106	0.751215	4.95699	0.0520363	0.036032	radar	2.33656	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28522	0.838209	4.90962	0.106018	0.12885	lidar	2.20554	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58295	0.850116	5.14267	0.0990207	0.104484	radar	5.2777	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83593	0.818411	5.13296	0.0651703	0.0354703	lidar	0.736722	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08395	0.835804	5.02112	0.0664306	0.032057	radar	2.15209	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32013	0.849753	4.99942	0.0669189	0.0302191	lidar	0.279335	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59105	0.956327	5.20426	0.130006	0.141855	radar	6.50545	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8302	1.01602	5.17866	0.155356	0.174179	lidar	0.463668	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12144	1.05958	5.25247	0.162655	0.170468	radar	6.7935	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36112	1.08495	5.21943	0.160637	0.152561	lidar	0.664147	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64022	1.17198	5.29296	0.195538	0.199191	radar	4.10398	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91525	1.31056	5.3438	0.26039	0.293637	lidar	2.22024	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.157	1.42702	5.21246	0.31281	0.369395	radar	4.23253	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3802	1.4946	5.16994	0.32473	0.359126	lidar	0.97527	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6055	1.6001	5.02418	0.3667	0.414254	radar	2.85958	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.831	1.59904	4.9588	0.329415	0.316628	lidar	2.03258	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1007	1.64901	5.06626	0.315117	0.257571	radar	2.67211	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3856	1.67103	5.09892	0.284114	0.182516	lidar	2.49678	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.616	1.72523	5.02758	0.285059	0.171334	radar	0.73614	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8455	1.77915	5.00088	0.283954	0.154934	lidar	0.303578	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.103	1.87633	5.13519	0.302359	0.166607	radar	1.47105	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3508	1.88307	5.09912	0.264946	0.0891002	lidar	0.782582	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6098	1.93753	5.18561	0.256673	0.0627725	radar	0.777017	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.807	2.09005	5.15349	0.322917	0.169028	lidar	3.19362	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.076	2.20535	5.31092	0.342774	0.178438	radar	2.8411	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2792	2.35626	5.27937	0.397255	0.255052	lidar	2.27216	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4472	2.53232	5.07428	0.480027	0.394537	radar	10.3148	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6996	2.63024	5.10214	0.481073	0.362833	lidar	1.01257	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9173	2.75118	5.08422	0.502258	0.369799	radar	0.102803	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1461	2.89884	5.11694	0.532935	0.389415	lidar	0.336332	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4005	3.00691	5.24653	0.518063	0.310649	radar	1.63229	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6128	3.05247	5.14194	0.486841	0.23489	lidar	2.59639	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8428	3.21963	5.25656	0.519097	0.258752	radar	3.37972	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0508	3.41965	5.3006	0.575904	0.331205	lidar	0.648495	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2555	3.60492	5.25875	0.627069	0.403928	radar	2.34524	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.471	3.78527	5.29255	0.659393	0.423487	lidar	0.269012	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6819	3.92096	5.26381	0.663929	0.396522	radar	1.22423	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9092	4.04349	5.24134	0.655336	0.350499	lidar	0.434691	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1006	4.21172	5.14845	0.692303	0.405161	radar	1.52369	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2971	4.40234	5.18132	0.725084	0.425263	lidar	0.180911	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5089	4.56678	5.22042	0.73082	0.391013	radar	0.765135	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6883	4.72267	5.17919	0.744015	0.381058	lidar	0.513826	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.834	4.92266	5.02011	0.812026	0.50772	radar	3.2829	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9931	5.14859	5.06862	0.861428	0.546073	lidar	0.288542	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1655	5.31345	5.03963	0.87009	0.51477	radar	1.71859	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.324	5.48295	5.00093	0.88446	0.497238	lidar	0.206927	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4828	5.64392	4.93657	0.895363	0.481262	radar	2.97351	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.681	5.74427	4.83052	0.860332	0.389271	lidar	1.83531	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
